TIME,FOREIGN,DOMESTIC,MALE,FEMALE,ORIGIN_UNCATEGORIZED,SEX_UNCATEGORIZED,UNCATEGORIZED,LOCATION
13/01/2025,865,2213,1525,1553,0,0,0,PR
13/01/2025,0,0,0,0,0,0,0,PLAZUELA
13/01/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
13/01/2025,15,166,88,93,0,0,0,MDI
13/01/2025,0,0,0,0,0,0,0,RIVERWALK
13/01/2025,186,331,249,268,0,0,0,CM
13/01/2025,52,358,169,240,0,0,0,CDT
13/01/2025,131,287,206,212,0,0,0,BSD
13/01/2025,0,0,0,0,0,0,0,ASEAN
13/01/2025,26,679,362,344,0,0,0,ALITAPTAP
13/01/2025,458,4159,2362,2254,0,0,0,FS
14/01/2025,0,0,0,0,0,0,0,RIVERWALK
14/01/2025,836,1148,938,1047,0,0,0,PSL
14/01/2025,173,309,226,257,0,0,0,PRG
14/01/2025,865,2213,1525,1553,0,0,0,PR
14/01/2025,0,0,0,0,0,0,0,PLAZUELA
14/01/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
14/01/2025,15,166,88,93,0,0,0,MDI
14/01/2025,458,4159,2362,2254,0,0,0,FS
14/01/2025,186,331,249,268,0,0,0,CM
14/01/2025,52,358,169,240,0,0,0,CDT
14/01/2025,131,287,206,212,0,0,0,BSD
14/01/2025,0,0,0,0,0,0,0,ASEAN
14/01/2025,26,679,362,344,0,0,0,ALITAPTAP
15/01/2025,836,1148,937,1047,0,0,0,PSL
15/01/2025,173,309,226,256,0,0,0,PRG
15/01/2025,865,2213,1525,1553,0,0,0,PR
15/01/2025,0,0,0,0,0,0,0,PLAZUELA
15/01/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
15/01/2025,14,166,88,93,0,0,0,MDI
15/01/2025,0,0,0,0,0,0,0,RIVERWALK
15/01/2025,186,331,249,268,0,0,0,CM
15/01/2025,52,358,169,240,0,0,0,CDT
15/01/2025,131,287,206,212,0,0,0,BSD
15/01/2025,0,0,0,0,0,0,0,ASEAN
15/01/2025,26,679,362,344,0,0,0,ALITAPTAP
15/01/2025,457,4159,2362,2254,0,0,0,FS
16/01/2025,836,1148,937,1047,0,0,0,PSL
16/01/2025,173,309,226,256,0,0,0,PRG
16/01/2025,865,2213,1525,1553,0,0,0,PR
16/01/2025,0,0,0,0,0,0,0,PLAZUELA
16/01/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
16/01/2025,14,166,88,93,0,0,0,MDI
16/01/2025,0,0,0,0,0,0,0,RIVERWALK
16/01/2025,186,331,249,268,0,0,0,CM
16/01/2025,52,358,169,240,0,0,0,CDT
16/01/2025,131,287,206,212,0,0,0,BSD
16/01/2025,0,0,0,0,0,0,0,ASEAN
16/01/2025,26,679,362,344,0,0,0,ALITAPTAP
16/01/2025,457,4159,2362,2254,0,0,0,FS
17/01/2025,0,0,0,0,0,0,0,RIVERWALK
17/01/2025,836,1148,937,1046,0,0,0,PSL
17/01/2025,173,309,225,256,0,0,0,PRG
17/01/2025,865,2213,1525,1553,0,0,0,PR
17/01/2025,0,0,0,0,0,0,0,PLAZUELA
17/01/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
17/01/2025,14,166,88,93,0,0,0,MDI
17/01/2025,186,331,249,268,0,0,0,CM
17/01/2025,52,358,169,240,0,0,0,CDT
17/01/2025,131,287,206,212,0,0,0,BSD
17/01/2025,0,0,0,0,0,0,0,ASEAN
17/01/2025,26,679,362,343,0,0,0,ALITAPTAP
17/01/2025,457,4159,2362,2254,0,0,0,FS
18/01/2025,0,0,0,0,0,0,0,PLAZUELA
18/01/2025,0,0,0,0,0,0,0,RIVERWALK
18/01/2025,836,1148,937,1046,0,0,0,PSL
18/01/2025,173,309,225,256,0,0,0,PRG
18/01/2025,864,2213,1525,1553,0,0,0,PR
18/01/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
18/01/2025,131,287,206,211,0,0,0,BSD
18/01/2025,457,4159,2362,2254,0,0,0,FS
18/01/2025,186,331,249,268,0,0,0,CM
18/01/2025,52,358,169,240,0,0,0,CDT
18/01/2025,14,166,88,92,0,0,0,MDI
18/01/2025,0,0,0,0,0,0,0,ASEAN
18/01/2025,26,679,362,343,0,0,0,ALITAPTAP
19/01/2025,0,0,0,0,0,0,0,RIVERWALK
19/01/2025,836,1148,937,1046,0,0,0,PSL
19/01/2025,173,309,225,256,0,0,0,PRG
19/01/2025,864,2213,1525,1553,0,0,0,PR
19/01/2025,0,0,0,0,0,0,0,PLAZUELA
19/01/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
19/01/2025,14,166,87,92,0,0,0,MDI
19/01/2025,457,4159,2362,2254,0,0,0,FS
19/01/2025,186,331,249,268,0,0,0,CM
19/01/2025,52,358,169,240,0,0,0,CDT
19/01/2025,131,287,206,211,0,0,0,BSD
19/01/2025,0,0,0,0,0,0,0,ASEAN
19/01/2025,26,679,362,343,0,0,0,ALITAPTAP
20/01/2025,0,0,0,0,0,0,0,RIVERWALK
20/01/2025,836,1148,937,1046,0,0,0,PSL
20/01/2025,173,309,225,256,0,0,0,PRG
20/01/2025,864,2213,1525,1553,0,0,0,PR
20/01/2025,0,0,0,0,0,0,0,PLAZUELA
20/01/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
20/01/2025,14,166,87,92,0,0,0,MDI
20/01/2025,457,4159,2362,2254,0,0,0,FS
20/01/2025,186,331,249,268,0,0,0,CM
20/01/2025,52,358,169,240,0,0,0,CDT
20/01/2025,131,287,206,211,0,0,0,BSD
20/01/2025,0,0,0,0,0,0,0,ASEAN
20/01/2025,26,679,362,343,0,0,0,ALITAPTAP
21/01/2025,0,0,0,0,0,0,0,RIVERWALK
21/01/2025,836,1148,937,1046,0,0,0,PSL
21/01/2025,173,309,225,256,0,0,0,PRG
21/01/2025,864,2213,1525,1552,0,0,0,PR
21/01/2025,0,0,0,0,0,0,0,PLAZUELA
21/01/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
21/01/2025,14,166,87,92,0,0,0,MDI
21/01/2025,457,4159,2362,2254,0,0,0,FS
21/01/2025,186,331,249,268,0,0,0,CM
21/01/2025,52,358,169,240,0,0,0,CDT
21/01/2025,131,287,206,211,0,0,0,BSD
21/01/2025,0,0,0,0,0,0,0,ASEAN
21/01/2025,26,679,362,343,0,0,0,ALITAPTAP
22/01/2025,0,0,0,0,0,0,0,RIVERWALK
22/01/2025,836,1148,937,1046,0,0,0,PSL
22/01/2025,173,309,225,256,0,0,0,PRG
22/01/2025,864,2213,1525,1552,0,0,0,PR
22/01/2025,0,0,0,0,0,0,0,PLAZUELA
22/01/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
22/01/2025,14,165,87,92,0,0,0,MDI
22/01/2025,457,4159,2362,2254,0,0,0,FS
22/01/2025,186,331,249,268,0,0,0,CM
22/01/2025,52,358,169,240,0,0,0,CDT
22/01/2025,131,287,206,211,0,0,0,BSD
22/01/2025,0,0,0,0,0,0,0,ASEAN
22/01/2025,26,679,362,343,0,0,0,ALITAPTAP
23/01/2025,0,0,0,0,0,0,0,RIVERWALK
23/01/2025,836,1148,937,1046,0,0,0,PSL
23/01/2025,172,309,225,256,0,0,0,PRG
23/01/2025,864,2213,1525,1552,0,0,0,PR
23/01/2025,0,0,0,0,0,0,0,PLAZUELA
23/01/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
23/01/2025,14,165,87,92,0,0,0,MDI
23/01/2025,457,4159,2362,2254,0,0,0,FS
23/01/2025,186,331,249,268,0,0,0,CM
23/01/2025,52,358,169,240,0,0,0,CDT
23/01/2025,131,287,206,211,0,0,0,BSD
23/01/2025,0,0,0,0,0,0,0,ASEAN
23/01/2025,26,679,362,343,0,0,0,ALITAPTAP
24/01/2025,0,0,0,0,0,0,0,RIVERWALK
24/01/2025,836,1148,937,1046,0,0,0,PSL
24/01/2025,172,309,225,256,0,0,0,PRG
24/01/2025,864,2213,1525,1552,0,0,0,PR
24/01/2025,0,0,0,0,0,0,0,PLAZUELA
24/01/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
24/01/2025,14,165,87,92,0,0,0,MDI
24/01/2025,457,4158,2362,2254,0,0,0,FS
24/01/2025,186,331,249,268,0,0,0,CM
24/01/2025,51,357,169,240,0,0,0,CDT
24/01/2025,131,287,206,211,0,0,0,BSD
24/01/2025,0,0,0,0,0,0,0,ASEAN
24/01/2025,26,679,362,343,0,0,0,ALITAPTAP
25/01/2025,0,0,0,0,0,0,0,RIVERWALK
25/01/2025,836,1147,937,1046,0,0,0,PSL
25/01/2025,172,309,225,256,0,0,0,PRG
25/01/2025,864,2213,1525,1552,0,0,0,PR
25/01/2025,0,0,0,0,0,0,0,PLAZUELA
25/01/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
25/01/2025,14,165,87,92,0,0,0,MDI
25/01/2025,457,4158,2362,2254,0,0,0,FS
25/01/2025,186,331,249,267,0,0,0,CM
25/01/2025,51,357,169,240,0,0,0,CDT
25/01/2025,131,287,206,211,0,0,0,BSD
25/01/2025,0,0,0,0,0,0,0,ASEAN
25/01/2025,26,679,362,343,0,0,0,ALITAPTAP
26/01/2025,836,1147,937,1046,0,0,0,PSL
26/01/2025,172,309,225,256,0,0,0,PRG
26/01/2025,864,2213,1525,1552,0,0,0,PR
26/01/2025,0,0,0,0,0,0,0,PLAZUELA
26/01/2025,0,0,0,0,0,0,0,PLAZA_MEXICO
26/01/2025,14,165,87,92,0,0,0,MDI
26/01/2025,0,0,0,0,0,0,0,RIVERWALK
26/01/2025,185,331,249,267,0,0,0,CM
26/01/2025,51,357,169,240,0,0,0,CDT
26/01/2025,131,287,206,211,0,0,0,BSD
26/01/2025,0,0,0,0,0,0,0,ASEAN
26/01/2025,26,679,362,343,0,0,0,ALITAPTAP
26/01/2025,457,4158,2362,2254,0,0,0,FS
